plot,tree.id,species,dbh, type,class,sp.code,ht,hcb,cw,x,y
1,1532,桤木,4.5,Sapling,其它树种,Others,4.7,1.5,3.05,0.1,0.1
1,1533,枫香,17.2,Adult,枫香,LF,11.5,2.1,7.15,5,1
1,1534,泡桐,4.2,Sapling,其它树种,Others,6.8,3.4,2.3,5,1.55
1,1535,枫香,4.6,Sapling,枫香,LF,7.4,2.5,3.35,5,1.5
1,1536,山杨,7,Adult,山杨,PD,6.5,1.9,3.2,4.5,2
1,1537,马尾松,7.8,Adult,马尾松,PM,6.2,6.1,2.9,10,1.5
1,1538,枫香,20.5,Adult,枫香,LF,11.7,3.8,5.95,10.5,2
1,1539,马尾松,4.1,Sapling,马尾松,PM,3.1,2.6,1.6,16,2.5
1,1540,枫香,14.9,Adult,枫香,LF,11.3,2.5,5.6,18,0.5
1,1541,枫香,2.5,Sapling,枫香,LF,11,2.3,3.85,19.5,0.1
1,1542,枫香,8.1,Adult,枫香,LF,10.4,0.8,3.15,19.6,0.1
1,1543,山杨,5.5,Adult,山杨,PD,9.6,1.9,2.55,19,9
1,1544,枫香,4.1,Sapling,枫香,LF,4.3,1.9,2.35,17,8
1,1545,枫香,4.3,Sapling,枫香,LF,4.2,1.4,1.8,15,6
1,1546,光皮桦,12.8,Adult,光皮桦,BL,10.9,3.2,4.3,15.6,6
1,1547,山杨,8.3,Adult,山杨,PD,8.6,1.3,2.85,11,4.5
1,1548,山杨,8,Adult,山杨,PD,7.2,1.6,3.4,8.5,4.6
1,1549,桤木,8.5,Adult,其它树种,Others,3.8,1.9,4,7,4.7
1,1550,马尾松,6.4,Adult,马尾松,PM,7.3,1.8,3.25,2,9
1,1551,马尾松,4.5,Sapling,马尾松,PM,4.2,0.7,2.05,0.3,11
1,1552,山胡椒,4.7,Sapling,其它树种,Others,3.6,0.6,2.25,2.5,11.1
1,1553,枫香,9.9,Adult,枫香,LF,4,1.9,5.35,4,11.4
1,1554,枫香,4.4,Sapling,枫香,LF,5.3,3,1.45,10,11.4
1,1555,枫香,15.7,Adult,枫香,LF,12,1.3,5.55,12.5,11.9
1,1556,枫香,16.1,Adult,枫香,LF,12.2,2.4,5.5,18,13
1,1557,枫香,4.4,Sapling,枫香,LF,4.7,0.5,3.1,17.8,13
1,1558,山杨,8.5,Adult,山杨,PD,8.2,2.7,3.25,10,16
1,1559,光皮桦,5.1,Adult,光皮桦,BL,6.3,4,2.05,9,14.5
1,1560,山杨,5.1,Adult,山杨,PD,4,2.7,2.5,8.5,14.05
1,1561,山杨,3.4,Sapling,山杨,PD,4.6,2.8,2.1,8.5,14
1,1562,山杨,15.1,Adult,山杨,PD,11.2,2.8,4,8,15
1,1563,山杨,10.9,Adult,山杨,PD,9.8,2.4,3.55,7,15
1,1564,马尾松,5.7,Adult,马尾松,PM,5.2,1.3,2.7,6,15
27,1565,马尾松,5,Adult,马尾松,PM,7,1.2,2.65,2,66
1,1566,光皮桦,4.3,Sapling,光皮桦,BL,7.5,2.6,3.6,2,18.5
1,1567,光皮桦,4.6,Sapling,光皮桦,BL,5.4,2.3,2.6,6,17.5
1,1568,枫香,9.9,Adult,枫香,LF,9.4,1.2,3.7,10,19
1,1569,山杨,7.2,Adult,山杨,PD,7.8,2.1,3.25,12,18.5
1,1570,山杨,5.2,Adult,山杨,PD,6.2,1.3,2.3,13,18.4
1,1571,山杨,9.7,Adult,山杨,PD,8.5,3,3.9,16,18
1,1572,光皮桦,5.7,Adult,光皮桦,BL,11.3,5.1,3.2,8.5,12
1,1573,山杨,7.5,Adult,山杨,PD,8.5,3.4,2.85,9,12.1
1,1574,马桑,7.6,Adult,其它树种,Others,3.2,0.9,3.25,19.5,17
2,1575,栾树,5.2,Adult,其它树种,Others,6.8,0.8,3.2,26,3
2,1576,构树,5.1,Adult,其它树种,Others,8.9,2.8,1.8,29,2
2,1577,枫香,8.5,Adult,枫香,LF,13.2,2.3,3.7,37,0.1
2,1578,构树,9.1,Adult,其它树种,Others,14.2,3.2,3.3,38.5,0.1
2,1579,鼠李,4.8,Sapling,其它树种,Others,3.1,0.2,3.05,38.5,1.5
2,1580,构树,4.9,Sapling,其它树种,Others,9.2,4.1,3.7,38.5,1.65
2,1581,构树,5.4,Adult,其它树种,Others,9.5,4.3,2.2,38.5,1.6
2,1582,桤木,14.1,Adult,其它树种,Others,14.2,1.8,3.7,38.5,4
2,1583,泡桐,5.1,Adult,其它树种,Others,10,4.3,1.45,37.5,3
2,1584,山桐子,10.4,Adult,其它树种,Others,11.2,4.1,3.3,38.5,5.5
2,1585,山桐子,5.3,Adult,其它树种,Others,9.3,2.1,3.1,37.5,4.5
2,1586,枫香,12.9,Adult,枫香,LF,13.2,1.3,4.15,31,10
2,1587,枫香,5.8,Adult,枫香,LF,9.2,1.6,2.5,29,10
2,1588,马尾松,5.1,Adult,马尾松,PM,6.2,1.1,2.4,29,11
2,1589,光皮桦,5.4,Adult,光皮桦,BL,5.2,2.3,2.35,28,12
2,1590,光皮桦,5.3,Adult,光皮桦,BL,7.2,2.3,2.75,28,11
2,1591,枫香,14.1,Adult,枫香,LF,12,1.9,3.75,27.5,17
2,1593,山杨,6,Adult,山杨,PD,9.5,3.2,1.65,23,15
2,1595,光皮桦,6.8,Adult,光皮桦,BL,7.4,2.5,3.2,24,18.05
2,1596,光皮桦,8.8,Adult,光皮桦,BL,7.4,7.2,2.65,24,18
2,1597,光皮桦,5.1,Adult,光皮桦,BL,9.8,1.8,4.55,24.5,16
2,1598,马尾松,5.6,Adult,马尾松,PM,4.5,1.2,2.45,30,17
2,1599,枫香,8.1,Adult,枫香,LF,6.3,1.5,2.3,32,16
2,1600,枫香,16.3,Adult,枫香,LF,8.2,1.9,2.8,36,16
2,1601,光皮桦,6.3,Adult,光皮桦,BL,9.5,4.4,6.6,39.5,18
2,1602,石楠,5.3,Adult,其它树种,Others,11.5,1.9,2.75,39.5,18.5
2,1603,石楠,7.4,Adult,其它树种,Others,5.5,1.3,1.65,38,18.5
2,1605,光皮桦,5.9,Adult,光皮桦,BL,4.4,3.2,2.6,38.5,19.2
2,1606,化香,5.3,Adult,化香,PS,6,1.4,2.2,39.2,19.6
2,1607,光皮桦,8.4,Adult,光皮桦,BL,5.2,2.1,3.6,39.6,19.6
2,1608,栾树,5.2,Adult,其它树种,Others,4.3,0.4,2.05,39.6,19
2,1609,栾树,5.1,Adult,其它树种,Others,6.1,1.8,1.7,39,19.05
2,1610,栾树,8.1,Adult,其它树种,Others,5.2,3.4,4.4,39,19
2,1611,栾树,5.5,Adult,其它树种,Others,4.9,2.9,3.9,39,19.4
2,1612,栾树,4.5,Sapling,其它树种,Others,9.4,4.5,2.85,39.2,19.5
2,1613,山杨,5.2,Adult,山杨,PD,6.8,3.1,2.65,39.2,19.9
2,1614,山杨,6.3,Adult,山杨,PD,6.5,3.5,2.65,39.4,19.8
2,1615,光皮桦,6.2,Adult,光皮桦,BL,5.2,2.2,2.25,39.5,19.85
2,1616,枫香,5.8,Adult,枫香,LF,6.3,1.2,2.95,39.9,19.5
2,1617,光皮桦,10.3,Adult,光皮桦,BL,6.1,4.1,3.6,39.8,19.7
2,1618,光皮桦,16.5,Adult,光皮桦,BL,4.6,4.3,4.35,39.5,19.8
1,1619,光皮桦,14.3,Adult,光皮桦,BL,8.9,3.1,4.75,20,20
3,1620,山桐子,4.8,Sapling,其它树种,Others,7.5,3.4,2.8,42.5,1.2
3,1621,枫香,4.8,Sapling,枫香,LF,5.4,0.3,2.75,45.6,1.8
3,1622,光皮桦,9.8,Adult,光皮桦,BL,8.4,1.1,3.85,49.5,2.3
3,1623,桤木,11,Adult,其它树种,Others,8.3,2,3.3,51.9,4.2
3,1624,枫香,19.9,Adult,枫香,LF,10.5,2.8,4.1,53.8,1.6
3,1625,山杨,7.6,Adult,山杨,PD,5.4,1.2,2.55,54.3,1.7
3,1626,山杨,7.6,Adult,山杨,PD,6.3,4,3.45,55.4,1.5
3,1627,马尾松,8,Adult,马尾松,PM,8,1.1,3.9,57.3,2
3,1628,马尾松,7.8,Adult,马尾松,PM,8.2,1.5,2.45,59.5,2.5
3,1629,马尾松,4.5,Sapling,马尾松,PM,3.7,1.1,1.85,59.4,9.8
3,1630,马尾松,4.1,Sapling,马尾松,PM,3.9,0.7,1.95,56.9,9.3
